Unique ID,Name,Title,Company,Description,Tag,TagQID,FacetOf,FacetOfQID,Slides URL,Video URL
,Lambert Hogenhout,Knowledge Graphs for Social Good,,"This workshop establishes a bridge for researchers from industry and academia who are working on positive social impact in accordance with priorities outlined in the Sustainable Development Goals (SDGs). The workshop targets practitioners of knowledge graphs methods, related domain SMEs, and anyone working to leverage knowledge graphs for social good. We are proposing an applied research-based workshop that will show how businesses, social scientists, the public sector and academia use knowledge graphs to have a positive social impact. The efforts include various kinds of problems they are solving, bottlenecks they have, and insights they are gathering. This workshop can also be an excellent place to identify and find projects/researchers for future collaboration. ","Social Good, Sustainable Development Goals, Semantics, Semantic Graph",,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-3rd-t1-knowledge-graphs-for-social-good-0cfd5eb6-31aa-48d8-9bd0-44aab657eea7
,Laura Ham,Introduction to Weaviate Vector Search Engine,SeMI Technologies,"This talk is an introduction to the vector search engine Weaviate. You will learn how storing data using vectors enables semantic search and automatic data classification. Topics like the underlying vector storage mechanism and how the pre-trained language vectorization model enables this are touched. In addition, this presentation consists of live demos to show the power of Weaviate and how you can get started with your own datasets. No prior technical knowledge is required; all concepts are illustrated with real use case examples and live demos.","Vector Search Engine, Vector Data Store,  Automatic Data Classification, Semantic Search, Language Vectorization, Weviate",,,,https://zenodo.org/record/4903211#.YOh1MehKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/laura-ham-introduction-to-weaviate-vector-search-engine
,Lev Yarmovsky,Entity Disambiguation with Knowledge Graph,Financial Industry Regulatory Authority,No link to speaker from presentation in program page,,,,,https://zenodo.org/record/4876662#.YOh0n-hKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/chen-zhang-dmytro-dolgopolov-entity-disambiguation-with-knowledge-graph
,Liz Hainey,,Raytheon Technologies,No speaker or presentation,,,,,No slides,No video
,Louis Guitton,,OneFootball,No speaker or presentation,,,,,No slides,No video
,Luke Feeney,Git for Data? Why a Knowledge Graph is Best for Distributed Collaboration,TerminusDB,"There has been an explosion of tools - especially in the machine learning space - describing themselves as ‘git for data’. This talk will review the main open source players and link the interest to data mesh architectures. Not to jump to outcomes without first conducting the review, but it will conclude that knowledge graphs are the best way to approach distributed collaboration.","Distributed Collaboration, Open-source, ML, Data Mesh Architectures, ",,,,https://zenodo.org/record/4903213#.YOhzruhKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/luke-feeney-why-a-knowledge-graph-is-best-for-distributed-collaboration
,Manas Gaur,Workshop on Knowledge-infused Learning,,"Research in artificial intelligence and data science is accelerating rapidly due to an unprecedented explosion in the amount of information on the web [1,2]. In parallel, we noticed immense growth in research around Knowledge Graphs from industry and academia. Most focus of Knowledge Graphs has been on its construction, however, harnessing knowledge graphs/symbolic knowledge for end tasks is yet to be well explored. Particularly, integrating information from knowledge graphs with learning techniques for solving tasks. We call this “knowledge-infused learning” (KiL), an approach to encode knowledge for using it with deep learning. Knowledge Graphs are important in its use for neuro-symbolic AI [3,5,8]. In this changing world, retrospective studies for building state-of-the-art AI and Data science systems have raised concerns on trust, traceability, and interactivity for prospective applications in healthcare, finance, and crisis response [1,4].","AI, Data Science, Knowledge Infused Learning, Deep Learning, Neuro-Symbolic AI, Probabilistic Learning, Natural Language Processing, Reinforcement Learning, Virtual Assistants, Human-Computer Interaction, Commonsense Reasoning",,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-3rd-t4-workshop-on-knowledge-infused-learning-69785c98-2b1f-4668-9644-79c7d3ea1deb
,Marco Monti,Second Workshop on Personal Health Knowledge Graphs,,No link to speaker from presentation in program page,,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-4th-t1-second-workshop-on-personal-health-knowledge-graphs-afd5e1f9-1dbf-4bd3-9066-641700796f70
,Margaret Kocherga,,Light and Charge Solutions,No speaker description or presentation,,,,,No slides,No video
,Mark Grover,,Stemma,"Over a third of analyst time is spent in understanding what data exists, can it be trusted and how to use it. Countless Data Engineering time is spent in answering the same questions about data - what does that column mean, how does it get populated, how often does it update and if there’s any incident going on? The answer thus far to such questions has been curation. You request volunteers to put in this information or hire project managers to make sure it does but it always fails because documentation gets out of date. The holy grail to solving this is automation - collecting metadata automatically from various data sources and creating a rich graph - of data sets, reports, humans, jobs, streams, event schemas and more. Then build opinionated products on top of it to deliver a better experience for data users. At Lyft, we have made our analysts and data scientists over 20% more productive by making it easier to discover data. Recently, we open sourced Amundsen and it’s now being used by ING, Square, Workday and many more. However, as we made it easy to discover data, it’s led to an interesting challenge. Not only is it now easy to discover good trusted data, it’s also easier to discover bad data that was previously hidden in the unforgotten nook and crannies of the data lake. Consequently, we are now asking ourselves, how can we recommend not just any data but trusted data to our users. This talk gives a quick overview of Amundsen and then goes into detail on how we have tried both automated and curated metadata to showcase what’s trusted and not in Amundsen. It will dive deep into linking the Airflow DAG which produced the data (task level lineage), linking what and how many dashboards are built from a given data set (table level lineage), as well as SLAs and historical landing times to give users signal into what’s trusted. The talk will end with an insight into current challenges and how we may solve them in the future.","Trust, Data Engineering, Curation, Automatic Data Collection, Multiple Data Sources, Amundsen, Data Discovery",,,,https://zenodo.org/record/4903215#.YOhyEOhKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/mark-grover-from-discovering-to-trusting-data
,Martynas Jusevicius,Data-centric transformation,AtomGraph,"One of the key pieces of global infrastructure today is the web yet it continues to be developed using legacy technologies dating back to the 1960s. A result of using outdated technology in turn has created several major problems. First, relational data models are a primary contributor to the data silos problems. Second, object-oriented codebases are proliferating complexity, trapping business logic, and stifling code reuse. Third, some experts warn we are heading for a software apocalypse. And finally we’re over paying for software projects by orders of magnitude. Where do we begin to resolve these problems? In this talk, we present a data-centric transformation. We explain how RDF Knowledge Graphs, Data-Driven software, and declarative technologies can be used to create a future-proof architecture with diminishing costs. And we will demonstrate AtomGraph’s Knowledge Graph management system, LinkedDataHub, which implements these principles.","Web, Legacy Technologies, Relational   Data Model, Data Silo, Object Oriented, Code Reuse, Software Apocalyopse, Data Centric, RDG Knowledge Graphs, Declarative Technologies, AtomGraph, ",,,,https://zenodo.org/record/4903219#.YOhxxehKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/martynas-jusevicius-data-centric-transformation
,Matt Gee,Known Unknowns:Building Collaborative Data Ecosystems with Knowledge Graphs How Philanthropy Is Using Knowledge Graphs to Make Smarter Investments in Data Ecosystems And Address Knowledge Gaps,Brighthive,"Despite the estimated 70 zettabytes of data produced worldwide, the production and use of data is unequal and its conversion to knowledge uneven across communities and sectors. To address this data & knowledge inequality, both the public and philanthropic sectors are increasing investments in shared data infrastructure aimed at building more collaborative data ecosystems. In this talk, we’ll discuss why this matters, how knowledge graphs can help, and profile a collaborative data ecosystem where targeted investments are leading to more equitable societal outcomes. We’ll wrap up with a discussion of what the knowledge graph community can do to support the development of more equitable data ecosystems.","Collaborative Data Ecosystems, Public Sector, Philanthropic Sector,  KG, Societal Outcomes",,,,https://zenodo.org/record/4903223#.YOhxluhKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/zoom-0
,Matthias Broecheler,AMA Speaker,DataStax,,,,,,No slides,No video
,Maulik R. Kamdar,Elsevier's Healthcare Knowledge Graph: An Actionable Medical Knowledge Platform to Power Diverse Applications,Elsevier Inc.," Knowledge Graphs are increasingly being developed and leveraged in academia and industry to tackle complex biomedical challenges, such as drug discovery and safety, medical literature search, clinical decision support, and disease monitoring and management. In this talk, we will present the research and development on Elsevier’s Healthcare Knowledge Graph, a platform built to deliver advanced clinical decision support and enhanced point-of-care content discovery for clinicians and patients. Elsevier’s Healthcare Knowledge Graph uses popular linked data and semantic web technologies to capture knowledge and data from heterogeneous healthcare sources about diseases, drugs, findings, guidelines, cohorts, journals, and books. The graph is composed of medical concepts (e.g., drugs, symptoms), medical term labels and synonyms for these concepts, hierarchical and associative typed relations (e.g. drug-disease relations) between these concepts, and mappings to codes in external terminologies used in clinical data integration and electronic medical record systems. We will demonstrate how subject matter experts curate and visualize the Healthcare Knowledge Graph through novel exploration interfaces to keep the medical knowledge regularly updated, and also showcase how operationalized natural language processing pipelines continuously tag and extract novel medical concepts and relations within synoptic and reference medical content. We will walk through how Elsevier’s Healthcare Knowledge Graph platform is used to provide actionable knowledge in user-facing applications in the domains of focused and precise clinical search, clinical decision support, and content recommendation. This talk will provide a perspective on how such knowledge graphs will enable the capture, representation, and provision of complex medical knowledge of high velocity, variety, volume, and veracity, to power, trusted clinical and biomedical research applications.","Biomedical Challenges, Elsevier, Healthcare KG, Clinical Decision Support, Point-of-Care, Linked Data, Semantic Web, Medical Concepts, Healthcare Sources, Curate, Visualize, NLP, Content Recommendation",,,,https://zenodo.org/record/4903225#.YOhv8-hKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/maulik-kamdar-elsevier-s-healthcare-knowledge-graph
,Melliyal Annamalai,Developing Enterprise Applications with Oracle Graph,Oracle,,,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/melliyal-annamalai-developing-enterprise-applications-with-oracle-graph
,Michael Cafarella,Infrastructure for Knowledge Graph Application Programming,MIT CSAIL,"Social Knowledge Graphs such as Wikidata have become massive successes, obtaining a level of coverage and quality that would be the envy of many traditional relational database engineering projects. And yet the downstream use scenarios for such datasets remain sharply limited compared to the vast range of relational database applications. In this talk, Mike will present some early work that aims to make Knowledge Graph-powered applications easier to build. This work is the result of a large NSF-funded collaboration among researchers at the University of Michigan, MIT, UC Berkeley, the University of Washington, and the Allen Institute for Artificial Intelligence.","Social Knowledge Graphs, Wikidata, Downstream, Use Scenarios, NSF, Collaboration",,,,https://zenodo.org/record/4903227#.YOhvCuhKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/michael-cafarella-infrastructure-for-knowledge-graph-application-programming
,Michael Grove,How to Build a Data Fabric,Stardog,"The enterprise data landscape is increasingly hybrid, varied, and changing. The emergence of IoT, rise in unstructured data volume, increasing relevance of external data sources, and trend towards hybrid multi-cloud environments are obstacles to satisfying each new data request. The old data strategy centered around relational data systems is fundamentally broken. Enterprise data fabrics offer a new way forward. The data fabric weaves together data from internal silos and external sources and creates a network of information to power your applications, AI, and analytics. Quite simply, they support the full breadth of today’s complex, connected enterprise. -	But how to achieve a data fabric? In this session, you’ll learn: -Key steps for building a data fabric and how to leverage existing data management investments -The technical skills and resources required to begin your data fabric implementation-An MVP methodology for data modeling to drive compounding business value","Data Landscape,  IoT, Unstructured Data, Data Fabric, Data Modeling",,,,https://zenodo.org/record/4903234#.YOhuouhKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/michael-grove-data-fabric
,Mike Atkin,KG Industry Survey,EKGF,No presentation,,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/kg-industry-survey
,Mike Pool,,Reclassify AI,No presentation associated on program,,,,,,
,Mike Tung,Automated Knowledge Graphs for Market Intelligence,Diffbot,"Nearly every business is constantly trying to identify, analyze, and grow its market. Yet, traditional processes for data management inevitably lead to a database that contains missing, outdated, invalid, or inconsistent data. Automated knowledge graph construction techniques are a scalable way to maintain and enforce the quality of data in real-world business databases and knowledge graphs offer an ideal representation for modeling the complex relationships between business entities and for validating properties and constraints. In this presentation, we will cover lessons learned building a commercial system that maintains 250M business entities and automatically updates over 100M new facts each month as the external world changes.","Data Mangement, Inconsistent Data, Automated Knowledge Graph, Data Quality, Business Entities, ",,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/mike-tung-automated-knowledge-graphs-for-market-intelligence
,Mike Welch,Serving a web scale Knowledge Graph,Verizon Media,"The Yahoo Knowledge Graph powers entity data for user experiences across multiple products at Verizon Media, from search to media to ads. Nodes in the knowledge graph correspond to real world entities: people, places, movies, sports teams, and so on. The edges represent semantic relationships between these entities. A comprehensive entity experience requires collecting a use-case specific subgraph around an entity node in the graph and combining it with dynamic and multimedia content. A ""knowledge panel"" for a public company on a web search results page might include basic data like the company's founders and number of employees, combined with a realtime stock quote and relevant images. Other use cases, like a finance-focused website, may prefer to include additional detailed information like the board members, other companies those board members represent, revenue numbers, top competitors, and more. Legacy serving systems typically pre-collected and exposed a static view of an entity, which limited the ability for clients to traverse the graph or adapt the user experience for different contexts without offline preprocessing. They also required clients to implement a more complex series of requests to fetch partial data, extract dependencies, and query additional services to stitch together their full experience. In this talk we will take you through our experience moving away from serving these static subgraph views with independent services and client side processing. We will describe how we addressed the shortcomings of such a system and built a federated, realtime, web-scale graph querying framework with GraphQL on top of Amazon Neptune, Vespa, and third party APIs. Our unified graph approach has enabled customer teams to experiment, rapidly iterate over their designs, and easily power rich experiences by bringing together all the relevant data under a single request.","Yahoo Knowledge Graph, Search, Media Ads, KG Nodes, Entities, Semantic Relationship, Fetch, Extract, Query, Static Subgraph View, Independent Services,  Client Side Processing, GraphQL, Amazon Neptune, Vespa, Unified Graph, Single Request",,,,https://zenodo.org/record/4903238#.YOhqR-hKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/mike-welch-serving-a-web-scale-knowledge-graph
,Mohammed Aaser,Future of Enterprise Data Management: Data products powered by Knowledge Graphs,McKinsey and Company,No link to presentation or speaker info.,,,,,https://zenodo.org/record/4903240#.YMe5Wb6SlhE,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/mohammed-aaser-future-of-enterprise-data-management
,Mohammed Zaki,Second Workshop on Personal Health Knowledge Graphs,,No link to speaker from presentation in program page,,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-4th-t1-second-workshop-on-personal-health-knowledge-graphs-afd5e1f9-1dbf-4bd3-9066-641700796f70
,Nariman Ammar,,,,,,,,,
,Neda Abolhassani,Accelerating Industry Data Integration: Knowledge Graph Enabled Data Mesh,,No link to presentation,,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/neda-abolhassani-teresa-tung-accelerating-industry-data-integration
,,Knowledge Graphs for Social Good,,,,,,,,
,Nicole Moldovan,NLP - A Cornerstone for a Successful Graph -- A look at handling unstructured data through a medical case study,Lymba,"We’ll explore how unstructured and structured data can come together to tell a complete story through the lens of a pharma clinical trial and subsequent events in the field. We’ll weave through the patient history and other documents using an ontology and several NLP tools, then use natural language querying to ask plain English questions of the graph to make sense of our data. Attendees will walk away with a better understanding of how to use NLP to make the most of their graph databases and incorporate text-heavy data sources.","Pharma, Unstructured/Sturctured Data, Clinical Trial, Ontology, NLP, Natural Language Querying, ",,,,,
,Olaf Hartig,RDF-star: Metadata for RDF Statements,Linkopings Universitet,"The lack of a convenient way to capture annotations and statements about individual RDF triples has been a long standing issue for RDF. Such annotations are a native feature in other contemporary graph data models (e.g., edge properties in the Property Graph model). In recent years, the RDF* approach has emerged to address this limitation of RDF. After RDF* gained traction among both vendors and users of RDF systems, a community group has formed to produce a specification of the approach, now called RDF-star. In February 2021, the group published a first working draft of this spec, which is accompanied by several test suites. This presentation will introduce the approach and the various features that it adds to RDF and SPARQL.","Annotations, RDF, RDF-Star, Property Graph, SPARQL, ",,,,,
,Ora Lassila,A knowledge graph is more than just a graph database,Amazon,"Customer adoption of graph databases is growing rapidly and has attracted many vendors and products. Graphs, as an abstraction, are a simple and intuitive way to model information about the world. Despite this, the learning curve for building a graph-based application remains steep and daunting, as it requires the use of tooling and processes that may seem unfamiliar, even to experienced data practitioners. Most importantly, there are components other than a graph database that are needed for a knowledge graph architecture. In this presentation we discuss these components, the tooling one needs to succeed in building a knowledge graph -driven application, and we present the idea of a “data value chain"": data flowing from legacy sources, through various manipulation steps, to a graph representation, ready to be consumed.","Customer Adoption, Graph Database, Model Information, Graph Based Application, Knowledge Graph Architecture, Data Value Chain",,,,,
,Oshani Seneviratne,Second Workshop on Personal Health Knowledge Graphs,,,,,,,,
,Paco Nathan,Graph-Based Data Science kglab` open source integration of graph libraries with popular data science tooling,"Derwen, Inc.","Python has excellent libraries for working with graphs which provide: semantic technologies, graph queries, interactive visualizations, graph algorithms, probabilistic graph inference, as well as embedding and other integrations with deep learning. However, almost none of these have integration paths other than writing lots of custom code, and most do not share common file formats. Moreover, few of these libraries integrate effectively with popular data science tools (e.g., pandas, scikit-learn, PyTorch, spaCy, etc.) or with popular infrastructure for scale-out (Apache Spark, Ray, RAPIDS, Apache Parquet, fsspec, etc.) on cloud computing. This tutorial introduces kglab – an open source project that integrates RDFlib, OWL-RL, pySHACL, NetworkX, iGraph, pslpython, node2vec, PyVis, and more – to show how to use a wide range of graph-based approaches, blending smoothly into data science workflows, and working efficiently with popular data engineering practices. The material emphasizes hands-on coding examples which you can reuse; best practices for integrating and leveraging other useful libraries; history and bibliography (e.g., links to primary sources); accessible, detailed API documentation; a detailed glossary of terminology; plus links to many helpful resources, such as online “playgrounds”. Meanwhile, keep a practical focus on use cases","Python, Graph Libraries, Deep Learning, Data Science Tools, 'kglab', Open Source, Hybrid AI",,,,Graph-Based Data Science: 'kglab' open source integration of graph libraries with popular data science tooling | Zenodo,Graph-Based Data Science - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,,Graph-Based Data Science: 'kglab' open source integration of graph libraries with popular data science tooling,,,,,,,,
,,Modeling Sustainability,,,,,,,,
,Panos Alexopoulos,Semantic Modeling for Knowledge Graphs,,"In this tutorial we will address the challenge of semantically defining the elements of knowledge graphs (entities, relations, etc), so that their meaning is explicit, accurate and commonly understood by both humans and machines. We will use RDF/OWL and Protege as our modeling tools and, through a running use case of a labor market knowledge graph, we will see how we can tackle pitfalls and dilemmas that commonly appear in the modeling process.",,,,,,
,Paolo Manghi,The OpenAIRE Research Graph: Science as a public good,CNR - ISTI,"Conceived as a public and transparent good, populated out of data sources trusted by scientists, the OpenAIRE Research Graph aims at bringing discovery, monitoring, and assessment of science back in the hands of the scientific community. The underlying vision is to provide a trusted view of Open Science that is contextualized, traversable, open, and free-of-charge, thereby facilitating: -	Researchers to (i) build a complete individual scientific record, track the provenance of scientific results, reproduce experiments by reaching all products, (ii) have access to an open and transparent collection of data they can use for freely advancing information science and its real-world applications; -Funders, organizations, research infrastructures to monitor compliance of Open Science mandates, scientific trends, and research impact; -Research communities to monitor community research trends, identify and calculate community-specific indicators of quality of science by viewing and populating the subset of the Open Science Graph relative to the community;-Publishers to launch and promote their journals relying on equal and verifiable quality indicators, opted by research communities in their specific domains, and calculated over the Global Open Science Graph taking into account the whole citation graph, open access, reproducibility degrees, etc.-Companies (SMEs) to acquire content to deliver analytics services to customers operating in the scholarly communication domain (e.g., Elsevier, Springer, ACM).-The OpenAIRE Research Graph will be a key European Open Science Cloud (EOSC) resource, by providing the EOSC with: (i) a catalog of all scientific products, core in fostering Open Science and establishing its practices in the daily research activities, and (ii) Open Science monitoring tools, to measure trends and impact of Open Science and funding across communities and Nations.","Trusted Data Sources, OpenAIRE Research Graph, Discovery, Monitoring, Assessment, Trusted View, Contextualized, Provenance, Data Collection, European Open Science Cloud (EOSC), ",,,,,
,Pascal Hitzler,,,,,,,,,
,Patrick Gordon,Knowledge Graphs for Social Good,,,,,,,,
,Pavan Kapanipathi,Workshop on Knowledge-infused Learning,,"Research in artificial intelligence and data science is accelerating rapidly due to an unprecedented explosion in the amount of information on the web [1,2]. In parallel, we noticed immense growth in research around Knowledge Graphs from industry and academia. Most focus of Knowledge Graphs has been on its construction, however, harnessing knowledge graphs/symbolic knowledge for end tasks is yet to be well explored. Particularly, integrating information from knowledge graphs with learning techniques for solving tasks. We call this “knowledge-infused learning” (KiL), an approach to encode knowledge for using it with deep learning. Knowledge Graphs are important in its use for neuro-symbolic AI [3,5,8]. In this changing world, retrospective studies for building state-of-the-art AI and Data science systems have raised concerns on trust, traceability, and interactivity for prospective applications in healthcare, finance, and crisis response [1,4].","AI, Data Science, Knowledge Infused Learning, Deep Learning, Neuro-Symbolic AI, Probabilistic Learning, Natural Language Processing, Reinforcement Learning, Virtual Assistants, Human-Computer Interaction, Commonsense Reasoning",,,,,
,Pete Rivett,Enterprise Knowledge Graph Workshop,,,,,,,,
,Peter Rose,Integrating heterogeneous data sources into a COVID-19 Knowledge Graph,UC San Diego,"The COVID-19 pandemic has mobilized researchers worldwide to investigate many aspects of the outbreak, ranging from case statistics, patient demographics, transportation modeling, epidemiological studies, to viral genome sequencing. Relevant data are produced and publically shared at an unprecedented pace and updated daily. Given the urgency of the outbreak and the high levels of velocity and variety of pandemic-related data, efforts have not focused on data interoperability across domains. The avalanche of COVID-19-related data streams from agencies and public and private research teams, with little coordination and without reliance on best interoperability practices, creates enormous challenges for researchers attempting to analyze the pandemic in all its multi-disciplinary complexity and develop a comprehensive policy response. With data collection and analysis efforts largely fragmented and siloed, this goal can be addressed by the roll-out of a comprehensive semantic integration platform that organizes available information into an easily queryable transdisciplinary knowledge system. We developed the COVID-19-Net Knowledge Graph that integrates epidemiological, biological and population characteristic data. The challenges of integrating data across diverse domains, proposed solutions, and calls for action to prepare for future outbreaks will be discussed.","Covid-19, Case Statistics, Patient Demographics, Transportation Modeling, Data Interoperability, Cross Domain, Semantic Integration, Pandemic Outbreaks,   Data Collection/Analysis",,,,,
,Peter Winstanley,W3C Dataset Exchange Group - Current work and implementation suggestions,Semantic Arts,"This presentation will introduce and detail the current work of the W3C Dataset Exchange Working Group, including detail of the developments in the DCAT (Data Catalog) vocabulary and the proposal for content negotiation by profile (ConnegP) which is being developed by the working group in conjunction with the IETF. Peter will also include suggestions for how to use DCAT and discuss the types of problems that content negotiation by profile might help with.","W3C Dataset Exchange Working Group, DCAT (Data Catalog),  Content Negotiation by Profile (ConnegP), IETF",,,,,
,Pierre-Antoine Champin,,,,,,,,,
,Rajiv Arora,,,,,,,,,
,Raul Palma,Modeling Sustainability,,,,,,,,
,Rayid Ghani,Knowledge Graphs for Social Good,,"This workshop establishes a bridge for researchers from industry and academia who are working on positive social impact in accordance with priorities outlined in the Sustainable Development Goals (SDGs). The workshop targets practitioners of knowledge graphs methods, related domain SMEs, and anyone working to leverage knowledge graphs for social good. We are proposing an applied research-based workshop that will show how businesses, social scientists, the public sector and academia use knowledge graphs to have a positive social impact. The efforts include various kinds of problems they are solving, bottlenecks they have, and insights they are gathering. This workshop can also be an excellent place to identify and find projects/researchers for future collaboration.","Social Good, Sustainable Development Goals, Semantics, Semantic Graph",,,,,
,Ridho Reinanda,Financial Knowledge Graph at Bloomberg: Applications and Challenges,Bloomberg,"The Bloomberg Knowledge Graph is a graph-centric representation of entities and relationships in the financial world which connects cross-domain data from various sources within Bloomberg. Recent developments in machine learning, knowledge graphs, and language technology have enabled intelligent ways to uncover interesting patterns amongst data that reveal previously hidden insights. By leveraging the entity and relationship information in the knowledge graph, interesting potential applications emerge, especially when combined with other information such as market data and news stories. This talk details how Bloomberg uses the knowledge graph and semantic technologies to enable various use cases, e.g., to link data across different domains, enrich news stories, and support financial analytics centered around entities. In addition, we will discuss the challenges we face to support these use cases, including representing and storing historical, point-in-time relationships between entities.","Graph Representation, Cross- Domain,  Data Patterns, Entity Relationships, Financial Analytics ",,,,,
,Roi Krakovski,The Usearch Contextual Graph,Usearch.com,"In this talk, we will review how the recent breakthroughs in Neuroscience can be exploited to create Web search engines totally based on AI-generated data - eliminating the need to collect users’ data. In particular, we will focus on:         How can we generate search queries that are almost identical to a real user’s ones? How can we exploit the generated queries to predict user intent in a contextual graph?","Neuroscience, Search Engine, AI, User Intent, Contextual Graph",,,,,
,Ryan Wisnesky,How to optimally merge knowledge graphs with category theory,," In this talk we describe a new technique for merging knowledge graphs: translating the knowledge graph schemas into categories and the knowledge graph data into functors, then applying the ""co-limit/pushout"" construction from a branch of mathematics called category theory to merge these categories and functors, and then converting the categories and functors back into knowledge graph schemas and data. We show how this process is mathematically optimal (results in the highest possible data quality in the merge), and describe several real-world use cases of knowledge graph merge that have been implemented in an open-source tool.  ","Merge Technique, Translating, Functors, Mathematics Category Theory, Schemas, Data Quality, Use Case, Open-Source",,,,,
,Sabbir Rashid,Annotating Tabular Data Using Semantic Data Dictionaries,,"It is common practice for data providers to include text descriptions for each column when publishing data sets in the form of data dictionaries. While these documents are useful in helping an end-user properly interpret the meaning of a column in a data set, existing data dictionaries typically are not machine-readable and do not follow a common specification standard. We introduce the Semantic Data Dictionary, a specification that formalizes the assignment of a semantic representation of data, enabling standardization and harmonization across diverse data sets. The rendition of data in this form helps promote improved discovery, interoperability, reuse, traceability, and reproducibility. We present the associated research and describe how the Semantic Data Dictionary can help address existing limitations in the related literature. We discuss our approach, present an example by annotating portions of the publicly available National Health and Nutrition Examination Survey data set, present modeling challenges, and describe the use of this approach in sponsored research, including our work on a large National Institutes of Health (NIH)-funded exposure and health data portal and in the RPI-IBM collaborative Health Empowerment by Analytics, Learning, and Semantics project. This work has been evaluated in comparison with traditional data dictionaries, mapping languages, and data integration tools.",,,,,,
,Sabrina Viitasaari,Modeling Sustainability,,,,,,,,
,Samia Rahman,Introduction to Data Mesh,,,,,,,,
,Sergio Baranzini,SPOKE: a biomedical open knowledge graph,University of California San Francisco,"SPOKE is a biomedical knowledge graph containing factual data on various biomedical fields including genetics, molecular biology, physiology, metabolomics, pharmacology and clinical medicine. SPOKE can be used to repurpose medications, predict patient outcomes, and accelerate drug development, among other uses.","Biomedical KG, Gentics, Biomedical Field, SPOKE, Repurpose",,,,,
,Shreyansh Bhatt,Workshop on Knowledge-infused Learning,,,,,,,,
,Stefan Plantikow,The Upcoming GQL Standard,Neo4j,"Following the GQL Manifesto, the ISO working group that develops the SQL standard voted to initiate a project for a new database language: GQL (Graph Query Language). This talk presents an overview of the goals of GQL and the progress so far, key aspects of the language design such as the basic data model, catalog structure, and graph pattern matching, as well as the standardization process and community activities surrounding this effort.","GQL Manifesto, ISO, Language Design, Pattern Matching, ",,,,,
,Steven Gustafson,Connecting the Dots with Knowledge and Data to Enable Analogical Reasoning,"Noonum, Inc.","Knowledge graphs provide a way for us to capture and relate information into a representation that can mimic expert knowledge. One type of expert knowledge that has proven to be particularly useful in industry is reasoning by analogy, or using a replacement problem and solution pair to think about the solution to a new problem. At opposite ends of the ‘representation spectrum’ are logic systems, which can easily become overly constrained and complex, and statistical approaches, which can be easily influenced by nonsensical data. In this talk, I describe challenges and successes I’ve seen using analogical reasoning and how a knowledge graph approach combined with statistics and data can overcome deficiencies in both methods. To illustrate the case, I’ll demonstrate how our financial decision support application leverages analogical reasoning in several places to answer challenging questions when evaluating organizations.","KG, Expert Knowledge Representation, Reasoning by Analogy, Replacement Problem, Solution Pair, Logic Systems, ",,,,,
,Tara Raafat,,,,,,,,,
,Tara Rafaat,Knowledge Graphs for Social Good,,,,,,,,
,Tara Safavi,Second Workshop on Personal Health Knowledge Graphs,,,,,,,,
,Tek Raj Chhetri,Knowledge Graphs for Social Good,,,,,,,,
,Teodora Petkova,Workshop on Knowledge-infused Learning,,,,,,,,
,Teresa Tung,Accelerating Industry Data Integration: Knowledge Graph Enabled Data Mesh,,,,,,,,
,Timea Turdean,Knowledge Graphs for Social Good,,,,,,,,
,Tina Comes,Knowledge Graphs for Social Good,,,,,,,,
,Tom Plasterer,,,,,,,,,
